CCN,REPORTDATETIME,SHIFT,OFFENSE,METHOD,LASTMODIFIEDDATE,BLOCKSITEADDRESS,BLOCKXCOORD,BLOCKYCOORD,WARD,ANC,DISTRICT,PSA,NEIGHBORHOODCLUSTER,BUSINESSIMPROVEMENTDISTRICT,BLOCK_GROUP,CENSUS_TRACT,VOTING_PRECINCT,START_DATE,END_DATE
04104147,4/16/2013 12:00:00 AM,MIDNIGHT,HOMICIDE,KNIFE,4/10/2015 8:33:29 AM,1500 - 1599 BLOCK OF 1ST STREET SW,398943,133729,6,6D,FIRST,105,9,,006400 2,006400,Precinct 127,7/27/2004 8:30:00 PM,7/27/2004 8:30:00 PM
05047867,6/5/2013 12:00:00 AM,MIDNIGHT,SEX ABUSE,KNIFE,4/10/2015 8:32:17 AM,6500  - 6599 BLOCK OF PINEY BRANCH ROAD NW,397769,144596,4,4B,FOURTH,402,17,,001901 4,001901,Precinct 59,4/15/2005 12:30:00 PM,
07083463,7/8/2013 12:00:00 AM,MIDNIGHT,SEX ABUSE,OTHERS,4/10/2015 8:33:12 AM,1800 - 1810 BLOCK OF COLUMBIA ROAD NW,396275,139402,1,1C,THIRD,303,1,ADAMS MORGAN,004002 1,004002,Precinct 25,7/14/2007 3:00:00 PM,
09172197,4/8/2013 12:00:00 AM,MIDNIGHT,SEX ABUSE,OTHERS,4/10/2015 8:33:18 AM,2322 - 2499 BLOCK OF ONTARIO ROAD NW,396518,139335,1,1C,THIRD,303,1,,003800 1,003800,Precinct 24,5/22/2009 1:00:00 PM,5/22/2009 3:00:00 AM
09251354,2/27/2013 12:00:00 AM,MIDNIGHT,SEX ABUSE,OTHERS,4/10/2015 8:33:24 AM,2500 - 2699 BLOCK OF VIRGINIA AVENUE NW,395232,136881,2,2A,SECOND,207,5,,005600 2,005600,Precinct 3,1/1/2009 2:05:00 PM,1/1/2009 3:00:00 PM
10028985,2/27/2013 12:00:00 AM,MIDNIGHT,SEX ABUSE,OTHERS,4/10/2015 8:32:57 AM,1800 - 2299 BLOCK OF NEW YORK AVENUE NE,402158.31,138824.53,5,5C,FIFTH,505,22,,011100 3,011100,Precinct 72,3/7/2010 2:30:00 AM,3/7/2010 2:45:00 AM
10033521,10/10/2013 12:00:00 AM,MIDNIGHT,SEX ABUSE,OTHERS,4/10/2015 8:33:24 AM,2800 - 2821 BLOCK OF PENNSYLVANIA AVENUE SE,402837,133810,7,7B,SIXTH,607,34,,007604 3,007604,Precinct 111,12/29/2008 8:00:00 PM,12/29/2008 8:00:00 PM
10124918,4/9/2013 12:00:00 AM,MIDNIGHT,SEX ABUSE,OTHERS,4/10/2015 8:33:10 AM,1 - 99 BLOCK OF DC VILLAGE LANE SW,398794,127300,8,8D,SEVENTH,708,,,010900 2,010900,Precinct 126,8/27/2010 5:00:00 PM,
11010107,7/31/2013 12:00:00 AM,MIDNIGHT,HOMICIDE,OTHERS,4/10/2015 8:32:19 AM,3000 - 3099 BLOCK OF 7TH STREET NE,400331,140004,5,5E,FIFTH,502,21,,009201 1,009201,Precinct 74,1/23/2011 7:50:00 AM,
11045512,1/31/2013 12:00:00 AM,MIDNIGHT,HOMICIDE,GUN,4/10/2015 8:33:33 AM,400 - 499 BLOCK OF BURBANK STREET SE,404939,135095,7,7F,SIXTH,603,33,,007703 2,007703,Precinct 103,4/5/2011 10:30:00 PM,4/5/2011 10:32:00 PM
